month,Equal (Baseline),ISS Emphasis,SARIMA Emphasis,Rho Emphasis,ISS + SARIMA,ISS + Rho,SARIMA + Rho
2024-01-01,21,18,18,24,16,24,22
2024-02-01,9,3,7,16,4,11,12
2024-03-01,13,8,10,17,8,15,13
2024-04-01,8,1,13,14,1,3,17
2024-05-01,16,14,15,19,13,17,16
2024-06-01,20,22,19,23,20,23,20
2024-07-01,19,20,20,22,19,21,21
2024-08-01,14,9,14,15,12,13,14
2024-09-01,18,19,17,18,18,20,18
2024-10-01,10,15,4,12,9,16,6
2024-11-01,22,17,22,21,22,19,23
2024-12-01,6,7,8,9,7,7,8
2025-01-01,5,5,6,6,6,6,7
2025-02-01,24,24,24,20,24,22,24
2025-03-01,3,6,1,4,3,4,4
2025-04-01,12,12,12,8,14,9,10
2025-05-01,11,13,11,7,15,10,9
2025-06-01,15,16,16,10,17,12,11
2025-07-01,2,4,2,2,2,2,2
2025-08-01,7,11,9,5,11,8,5
2025-09-01,17,21,21,11,21,14,15
2025-10-01,23,23,23,13,23,18,19
2025-11-01,4,10,5,3,10,5,3
2025-12-01,1,2,3,1,5,1,1
