month,volume_mn,value_cr,days_in_month,seconds_in_month,total_transactions,lambda_avg_tps,rho_floor,rho_sens_low,rho_sens_high,rho_peak_baseline
2021-01-01,2302.73,431181.89,31,2678400,2302730000.0,859.740890083632,0.12454010396541154,0.1037834199711763,0.06918894664745086,0.0981000845259226
2021-02-01,2292.9,425062.76,28,2419200,2292900000.0,947.7926587301587,0.13729508229441723,0.11441256857868103,0.0762750457191207,0.10814716504345037
2021-03-01,2731.68,504886.44,31,2678400,2731680000.0,1019.8924731182796,0.14773929692158236,0.12311608076798532,0.08207738717865688,0.11637405987578753
2021-04-01,2641.06,493663.68,30,2592000,2641060000.0,1018.9274691358024,0.14759950864619506,0.12299959053849589,0.08199972702566392,0.11626394882565515
2021-05-01,2539.57,490638.65,31,2678400,2539570000.0,948.1668160095579,0.13734928186432632,0.11445773488693861,0.0763051565912924,0.10818985797705212
2021-06-01,2807.51,547373.17,30,2592000,2807510000.0,1083.1442901234568,0.15690181083325602,0.13075150902771335,0.08716767268514224,0.12359136065349334
2021-07-01,3247.82,606281.14,31,2678400,3247820000.0,1212.5970728793309,0.17565404561583114,0.14637837134652595,0.09758558089768397,0.13836247259773482
2021-08-01,3555.55,639116.95,31,2678400,3555550000.0,1327.490292712067,0.19229721532885705,0.16024767944071422,0.10683178629380947,0.1514722766178163
2021-09-01,3654.3,654351.81,30,2592000,3654300000.0,1409.837962962963,0.20422591097733134,0.1701882591477761,0.11345883943185074,0.16086849529870267
2021-10-01,4218.65,771444.98,31,2678400,4218649999.9999995,1575.0634707287932,0.22816010109464996,0.19013341757887497,0.12675561171924998,0.17972142699547203
2021-11-01,4186.48,768436.11,30,2592000,4186479999.9999995,1615.154320987654,0.23396757020178363,0.194972975168153,0.12998198344543535,0.18429596316616384
2021-12-01,4566.3,826848.22,31,2678400,4566300000.0,1704.861111111111,0.24696229116624993,0.20580190930520828,0.13720127287013886,0.19453188865855758
2022-01-01,4617.15,831993.11,31,2678400,4617150000.0,1723.8463261648747,0.24971244610696863,0.20809370508914055,0.1387291367260937,0.19669818227445837
2022-02-01,4527.49,826843.0,28,2419200,4527490000.0,1871.4823082010582,0.2710986576550007,0.2259155480458339,0.15061036536388928,0.21354407443088277
2022-03-01,5405.65,960581.66,31,2678400,5405650000.0,2018.2385005973715,0.2923574248829115,0.24363118740242629,0.16242079160161751,0.23028957885533843
2022-04-01,5583.05,983302.27,30,2592000,5583050000.0,2153.954475308642,0.3120169313635962,0.2600141094696635,0.17334273964644234,0.2457753475843313
2022-05-01,5955.2,1041520.07,31,2678400,5955200000.0,2223.416965352449,0.3220791092029108,0.26839925766909234,0.17893283844606156,0.2537013125154813
2022-06-01,5862.75,1014384.31,30,2592000,5862750000.0,2261.863425925926,0.3276483757716524,0.27304031314304367,0.18202687542869578,0.2580882168438467
2022-07-01,6288.4,1062991.76,31,2678400,6288400000.0,2347.8195937873356,0.34009979015173025,0.28341649179310857,0.18894432786207238,0.26789618041750946
2022-08-01,6579.63,1072792.68,31,2678400,6579630000.0,2456.5524193548385,0.3558505792055259,0.29654214933793827,0.19769476622529217,0.28030305730558774
2022-09-01,6780.8,1116438.1,30,2592000,6780800000.0,2616.0493827160494,0.378954945449221,0.3157957878743508,0.21053052524956722,0.29850233777233476
2022-10-01,7305.42,1211582.51,31,2678400,7305420000.0,2727.5313620071684,0.39510397063963065,0.3292533088663589,0.21950220591090594,0.311222904768412
2022-11-01,7309.45,1190593.39,30,2592000,7309450000.0,2820.0038580246915,0.40849932545036105,0.3404161045419676,0.22694406969464506,0.3217744090417049
2022-12-01,7829.49,1282055.01,31,2678400,7829490000.0,2923.1966845878137,0.42344760288707317,0.3528730024058943,0.2352486682705962,0.3335491485301645
2023-01-01,8036.89,1298726.62,31,2678400,8036890000.0,3000.630973715651,0.4346645573552159,0.3622204644626799,0.24148030964178663,0.34238472957122285
2023-02-01,7534.76,1235846.62,28,2419200,7534760000.0,3114.566798941799,0.4511690410696861,0.3759742008914051,0.25064946726093673,0.35538529080325704
2023-03-01,8685.3,1410443.01,31,2678400,8685300000.0,3242.7195340501794,0.46973295391591235,0.3914441282632603,0.26096275217550685,0.37000806179317397
2023-04-01,8863.26,1415504.71,30,2592000,8863260000.0,3419.4675925925926,0.4953362744517258,0.41278022870977155,0.27518681913984766,0.3901757654382999
2023-05-01,9415.19,1489145.44,31,2678400,9415190000.0,3515.2292413381124,0.5092080884229168,0.424340073685764,0.282893382457176,0.40110257599788995
2023-06-01,9335.06,1475464.26,30,2592000,9335060000.0,3601.489197530864,0.5217035088876246,0.4347529240730205,0.289835282715347,0.41094520310951677
2023-07-01,9964.61,1533536.44,31,2678400,9964610000.0,3720.3591696535245,0.5389227418649948,0.44910228488749565,0.29940152325833047,0.4245087714442655
2023-08-01,10586.02,1576536.56,31,2678400,10586020000.0,3952.367084826762,0.5725308791651326,0.4771090659709438,0.31807271064729586,0.4509818592683932
2023-09-01,10555.69,1579133.18,30,2592000,10555690000.0,4072.411265432099,0.5899202053045197,0.4916001710870998,0.32773344739139987,0.4646794097746662
2023-10-01,11408.79,1715768.34,31,2678400,11408790000.0,4259.5542114695345,0.6170293055284587,0.5141910879403823,0.34279405862692147,0.48603321420162177
2023-11-01,11235.29,1739740.61,30,2592000,11235290000.0,4334.60262345679,0.6279006472770436,0.5232505393975364,0.3488336929316909,0.49459655653464707
2023-12-01,12020.23,1822949.42,31,2678400,12020230000.0,4487.839755077658,0.6500982285757161,0.5417485238130967,0.3611656825420645,0.512081563631442
2024-01-01,12203.02,1841083.97,31,2678400,12203020000.0,4556.085722819594,0.6599841837696978,0.5499868198080815,0.36665787987205434,0.5198687182047066
