month,forecast_volume_mn,days_in_month,seconds_in_month,forecast_lambda,rho_peak_baseline,rho_sens_high
2026-07-01,23844.759325014435,31,2678400,8902.613248586631,1.0158259567053873,0.716451247328054
2026-08-01,24384.64179896862,31,2678400,9104.182272613732,1.0388258378590485,0.7326728189783605
2026-09-01,24034.377592970763,30,2592000,9272.522219510325,1.05803414027914,0.7462202304587311
2026-10-01,25125.856024906294,31,2678400,9380.91996150922,1.070402782709857,0.7549437024656704
2026-11-01,24847.028359848995,30,2592000,9586.04489191705,1.093808407873765,0.7714514410526636
2026-12-01,26017.686367339407,31,2678400,9713.891266181081,1.1083962217910652,0.7817400711155696
2027-01-01,26097.038101994905,31,2678400,9743.517809884597,1.1117767361705118,0.7841243119668471
2027-02-01,24813.128862944286,28,2419200,10256.749695330805,1.1703386725915816,0.8254274231128739
2027-03-01,27054.60405673339,31,2678400,10101.031980560556,1.1525706204291923,0.8128958048269811
2027-04-01,26754.918399784623,30,2592000,10322.113580163821,1.1777969692726173,0.8306876804677866
2027-05-01,27605.95564746288,31,2678400,10306.883082236738,1.176059104816882,0.8294619831435747
2027-06-01,27131.674395564598,30,2592000,10467.466973597453,1.194382408381582,0.842385214340262
