month,volume_mn,value_cr
2021-01-01,2302.73,431181.89
2021-02-01,2292.9,425062.76
2021-03-01,2731.68,504886.44
2021-04-01,2641.06,493663.68
2021-05-01,2539.57,490638.65
2021-06-01,2807.51,547373.17
2021-07-01,3247.82,606281.14
2021-08-01,3555.55,639116.95
2021-09-01,3654.3,654351.81
2021-10-01,4218.65,771444.98
2021-11-01,4186.48,768436.11
2021-12-01,4566.3,826848.22
2022-01-01,4617.15,831993.11
2022-02-01,4527.49,826843.0
2022-03-01,5405.65,960581.66
2022-04-01,5583.05,983302.27
2022-05-01,5955.2,1041520.07
2022-06-01,5862.75,1014384.31
2022-07-01,6288.4,1062991.76
2022-08-01,6579.63,1072792.68
2022-09-01,6780.8,1116438.1
2022-10-01,7305.42,1211582.51
2022-11-01,7309.45,1190593.39
2022-12-01,7829.49,1282055.01
2023-01-01,8036.89,1298726.62
2023-02-01,7534.76,1235846.62
2023-03-01,8685.3,1410443.01
2023-04-01,8863.26,1415504.71
2023-05-01,9415.19,1489145.44
2023-06-01,9335.06,1475464.26
2023-07-01,9964.61,1533536.44
2023-08-01,10586.02,1576536.56
2023-09-01,10555.69,1579133.18
2023-10-01,11408.79,1715768.34
2023-11-01,11235.29,1739740.61
2023-12-01,12020.23,1822949.42
2024-01-01,12203.02,1841083.97
2024-02-01,12102.67,1827869.35
2024-03-01,13440.0,1978353.23
2024-04-01,13303.99,1964464.52
2024-05-01,14035.84,2044937.05
2024-06-01,13885.14,2007081.2
2024-07-01,14435.55,2064292.41
2024-08-01,14963.05,2060735.57
2024-09-01,15041.75,2063994.71
2024-10-01,16584.97,2349821.46
2024-11-01,15482.02,2155187.4
2024-12-01,16730.01,2324699.91
2025-01-01,16996.0,2348037.12
2025-02-01,16106.19,2196481.69
2025-03-01,18301.51,2477221.61
2025-04-01,17893.42,2394925.87
2025-05-01,18677.46,2514297.01
2025-06-01,18395.01,2403930.69
2025-07-01,19467.95,2508498.09
2025-08-01,20008.31,2485472.91
2025-09-01,19633.43,2489736.54
2025-10-01,20700.92,2727790.68
2025-11-01,20466.98,2631632.63
2025-12-01,21634.67,2796712.73
2026-01-01,21703.44,2833481.22
2026-02-01,20394.18,2684229.29
2026-03-01,22641.11,2952542.05
2026-04-01,22346.8,2902988.05
2026-05-01,23201.93,2990424.21
2026-06-01,22716.07,2892138.67
